Country	MSW_kg	MSW_kg_per_capita
Aruba	79952043.56998949	758.8030633220345
Afghanistan	5106113787.78345	140.67824323578785
Angola	3822554255.6582246	128.20158173044976
Albania	1036879796.3399999	360.847507493587
Andorra	39008955.0	506.6032259321307
United Arab Emirates	4911003729.93648	517.6450561810977
Argentina	16248182301.749998	368.901169805224
Armenia	447060768.0	151.81316275520754
American Samoa	17226980.48565	309.7263661569579
Antigua and Barbuda	27746253.224999998	290.7619854651772
Australia	12106383825.0	492.09221680799743
Austria	4387146660.0	498.6773227958733
Azerbaijan	2658368657.565	269.7746859143865
Burundi	1698264834.9599998	156.8542597633477
Belgium	4271026979.9999995	375.46968402548777
Benin	622270859.23185	55.68317672159274
Burkina Faso	2336229178.22535	121.72118008702158
Bangladesh	13406831100.31605	83.96556215154816
Bulgaria	2731534035.0	386.03087826972137
Bahrain	863588382.7404983	578.0091098168486
Bahamas, The	239496840.0	627.3475813401578
Bosnia and Herzegovina	1132818238.83	338.0006304081692
Belarus	3882751800.0	408.78541594548227
Belize	91969354.1657055	244.74971103445336
Bermuda	74389170.0	1164.6236340294956
Bolivia	2013090688.62	179.8549939648994
Brazil	72474111536.84999	348.7118107198341
Barbados	158589948.9683333	554.0589274064602
Brunei Darussalam	196181619.32585996	462.1769095463315
Bhutan	100982436.44925	135.44363015747726
Botswana	191283987.5272413	86.74507218049986
Central African Republic	1003331187.8549999	218.3039763584991
Canada	22773095899.289997	623.2328646108999
Switzerland	5493912360.0	650.025599159473
Channel Islands	162325333.605	962.4126736726647
Chile	5912124645.0	320.0857675878738
China	190508850000.0	137.41311098207942
Côte d’Ivoire	4028640093.529949	164.85504671248685
Cameroon	2967054311.1991496	120.77867280627181
Congo, Dem. Rep.	13050061266.9537	160.32259736712587
Congo, Rep.	409321872.0	80.09112485916808
Colombia	11022406612.199999	225.40217450883378
Comoros	82565628.405	101.44543551847174
Cabo Verde	120251907.675	223.72572809708706
Costa Rica	1324490100.0	267.5762441428749
Cuba	2442769773.8763	215.42587340815655
Curacao	22410928.777842004	139.91527253218044
Cayman Islands	54431100.0	858.7785175601906
Cyprus	490787085.0	416.0340812762783
Czech Republic	3027276345.0	285.74204172038196
Germany	46308165510.0	560.2449204484818
Djibouti	104323779.33767928	110.50112365326792
Dominica	11953069.559999999	167.27405692854543
Denmark	4068724724.9999995	705.7656271140576
Dominican Republic	3686718193.35	350.6774711881741
Algeria	11229807246.9	271.32217558069135
Ecuador	4805550490.339649	286.2941398960469
Egypt, Arab Rep.	19050885000.0	197.5360098416267
Eritrea	659484821.70345	205.19308248592395
Spain	18280684935.0	392.3463254408859
Estonia	429098505.0	325.72014310178355
Ethiopia	5926446347.37945	55.69967115213667
Finland	2483872530.0	450.93972928430156
Fiji	171811398.83289	195.8056146587932
France	30299071815.0	453.1370158269606
Faeroe Islands	55338285.0	1144.9853096356376
Micronesia, Fed. Sts.	23622707.31045	211.94077921432992
Gabon	216002844.09734997	104.61082819076985
United Kingdom	28637108895.0	433.50898469196994
Georgia	725748000.0	194.67468382544655
Ghana	3209869986.1437263	110.22348377057348
Gibraltar	15380414.489999998	456.01323796252365
Guinea	541508705.535	44.87316805315483
Gambia, The	175486356.27989998	79.26592523395428
Guinea-Bissau	262642758.08999997	143.66618316589592
Equatorial Guinea	180024567.3861	142.65009883993753
Greece	4969036891.44	462.03488653078347
Grenada	26794719.52187182	241.66819562631292
Greenland	45359250.0	807.5207847465774
Guatemala	2500874058.0941496	147.85004555111232
Guam	128366677.49999999	781.384807129248
Guyana	162614272.0275	209.7650502598614
Hong Kong SAR, China	5152644299.801024	697.0851495327224
Honduras	1961359095.1689637	208.0131923849255
Croatia	1500483990.0	363.7950569410195
Haiti	2095463499.253097	190.80255559258333
Hungary	3367470720.0	344.04193067282824
Indonesia	59148462000.0	223.5004023451927
Isle of Man	45859108.934999995	548.5670582430201
India	152772893234.04074	114.12384488094067
Ireland	2442629178.345	508.09902973194585
Iran, Islamic Rep.	16225003724.999998	201.1182485037828
Iraq	11920410900.0	317.43084220580096
Iceland	476272125.0	1386.931057076296
Israel	4898799000.0	562.2208577691575
Italy	26783729940.0	442.437826278267
Jamaica	954081543.021375	326.6448338965963
Jordan	2295175328.4449997	234.7003502693939
Japan	39898903485.0	314.69537147761116
Kazakhstan	4227246231.8999996	234.35517947999796
Kenya	5075789886.315	101.06812052914098
Kyrgyz Republic	1009969060.4999999	162.9455423348714
Cambodia	987924465.0	61.70897104666042
Kiribati	32408120.450587496	283.88829911690374
St. Kitts and Nevis	29839256.0259	573.3356907656835
Korea, Rep.	16527980835.374998	321.1424296768086
Kuwait	1587573750.0	391.4042859428658
Lao PDR	319238401.5	45.91353293921288
Lebanon	1850657400.0	271.6811367446222
Liberia	512075723.2394999	108.90065799435925
Libya	1948267305.2245235	296.0566808795694
St. Lucia	70412277.79818	389.11485064341963
Liechtenstein	29376464.669999998	777.1551499999999
Sri Lanka	2387393405.25	111.33153354085059
Lesotho	66639088.544999994	31.86320464117065
Lithuania	1179340500.0	416.96338888058034
Luxembourg	322957860.0	541.5702892329157
Latvia	777457545.0	400.2874735873071
Macao SAR, China	342863313.27	550.7092417420914
St. Martin (French part)	14042770.2075	384.1020297456236
Morocco	6216031620.0	174.69942549025902
Monaco	41730510.0	1086.9584809335279
Moldova	3611684922.0	1017.6065007398859
Madagascar	3418961778.5646	133.7070620551854
Maldives	191874871.02929997	386.5312207229221
Mexico	48171523500.0	386.0599182268086
Marshall Islands	7814491.59	134.59801560508456
Macedonia, FYR	722649963.2249999	347.09478943523425
Mali	1757538887.6513999	94.93849837311154
Malta	244032765.0	521.4386462364236
Myanmar	4243182323.637871	79.48627144194978
Montenegro	301185420.0	483.93072964283476
Mongolia	2630836500.0	844.9014846589947
Northern Mariana Islands	29720663.813182496	525.452844899093
Mozambique	2267962500.0	79.16373855470802
Mauritania	411861990.0	96.17159913640722
Mauritius	397347030.0	314.20444831739036
Malawi	1177385044.5888	66.63088401578698
Malaysia	11777697091.724998	378.6428705907289
Namibia	232900697.86499998	96.9368213828918
New Caledonia	98118756.40403998	349.9866467060459
Niger	1692485767.1389499	78.3468561902985
Nigeria	25051759618.73124	131.24810109639287
Nicaragua	1386919209.0827196	217.22015755764534
Netherlands	8033123174.999999	468.9150882104891
Norway	1984013594.9999998	375.9760519677208
Nepal	1604789844.2656498	58.08747389940588
Nauru	5617063.1773425	436.2428686969944
New Zealand	3088964925.0	644.353224931684
Oman	1573861784.8027499	337.30898197312007
Pakistan	27905010600.0	134.2253748094859
Panama	1335614197.6508524	325.2224673961252
Peru	7581082986.469049	241.09564244572076
Philippines	13273860976.036499	126.20946114248673
Palau	8551802.116417501	480.22249081410047
Papua New Guinea	907185000.0	107.5114816505134
Poland	9854750655.0	259.5074604160135
Puerto Rico	3783825997.305	1137.9924388909958
Portugal	4272841349.9999995	414.8268836829995
Paraguay	1649717160.6260877	240.23624085905846
West Bank and Gaza	1258265595.0	282.4513295194739
French Polynesia	133356194.99999999	482.99437166564644
Qatar	908083127.6649599	333.2752703264477
Romania	4440670575.0	226.7095145059671
Russian Federation	54431100000.0	376.69431158100866
Rwanda	3977978102.265	332.0256255637602
Saudi Arabia	14628993684.296038	441.974945284724
Sudan	2568504725.835	62.93288423818004
Senegal	2226285740.71125	144.3823030711317
Singapore	6989225395.5	1245.351090818607
Solomon Islands	163267866.50153437	256.69514478935906
Sierra Leone	553584326.7166499	73.92527576426222
El Salvador	1495944599.5533	234.17595962527014
San Marino	15580612.0758	462.7308982744795
Somalia	2110202275.53645	144.6422005013771
Serbia	1669220400.0	237.75162522871136
South Sudan	2431873592.9849997	222.88766464230395
São Tomé and Príncipe	23211689.002499998	112.08557191593951
Suriname	71322702.49189274	125.01875997709492
Slovak Republic	1618418040.0	297.54532257495174
Slovenia	840053310.0	406.5322243450891
Sweden	3970748744.9999995	394.7969749141403
Eswatini	197947286.19195	175.9917832554792
Seychelles	43544880.0	454.3355278945776
Syrian Arab Republic	4082332499.9999995	239.18045591979657
Chad	1232728818.05805	82.09012802271499
Togo	1006095788.7832499	130.68767369943396
Thailand	24360970834.71	351.98700790153333
Tajikistan	1621502469.0	182.5961186081321
Turkmenistan	453592500.0	78.78057943240572
Timor-Leste	57946441.875	46.60842886167909
Tonga	15638238.05457375	153.3190656147547
Trinidad and Tobago	660316374.6899999	477.0823878309798
Tunisia	2449399500.0	214.23113754973022
Turkey	28379468355.0	349.92362884703107
Tuvalu	3619202.3105025	318.31154885686016
Tanzania	8415950709.075	153.9580927326159
Uganda	6391163535.47166	155.26678335400126
Ukraine	13827336449.625	308.4315498509016
Uruguay	1143179660.1546504	332.64399654624026
United States	234053730000.0	719.8394661473875
Uzbekistan	3628740000.0	112.03756877419833
St. Vincent and the Grenadines	28631982.619361248	260.70076228396704
Venezuela, RB	8871446610.2109	301.84835502666533
British Virgin Islands	19140868.68015	647.153824936606
Virgin Islands (U.S.)	132902602.49999999	1238.9771646716633
Vietnam	8682032605.5	91.77950106833602
Vanuatu	63707510.238464996	223.1358279516129
Samoa	24856043.46165	127.23721007028338
Kosovo	289392015.0	158.07724640847763
Yemen, Rep.	4387890551.7	157.64033660212868
South Africa	16744124011.919998	293.7542373466483
Zambia	2366181605.58	140.39547935027633
Zimbabwe	1315193268.12	92.38019421714723
